2023-04-26 20:42:17.122 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 11272 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-26 20:42:17.123 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-26 20:42:17.882 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-26 20:42:17.884 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-26 20:42:17.923 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2023-04-26 20:42:18.513 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-26 20:42:18.520 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-26 20:42:18.520 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-26 20:42:18.520 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-26 20:42:18.610 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-26 20:42:18.610 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1454 ms
2023-04-26 20:42:20.275 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@443dae2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@8f09a02, org.springframework.security.web.context.SecurityContextHolderFilter@2f60e66a, org.springframework.security.web.header.HeaderWriterFilter@20171cdc, org.springframework.security.web.authentication.logout.LogoutFilter@4f2d8175, top.lilong.security.filter.AuthenticationTokenFilter@33215ffb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1136122a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5a537a16, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5454be, org.springframework.security.web.session.SessionManagementFilter@13ebccd, org.springframework.security.web.access.ExceptionTranslationFilter@3883b5e9, org.springframework.security.web.access.intercept.AuthorizationFilter@1203d787]
2023-04-26 20:42:20.649 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-26 20:42:20.671 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-26 20:42:20.680 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 4.006 seconds (process running for 4.896)
